大雅中清路站         營業時間 : 00:00-24:00,台中市大雅區中清路三段951號,04-25664445,00:00-24:00
北屯站         營業時間 : 07:00-22:00,台中市北屯區北屯路436號,04-22435121,07:00-22:00
昌平路站         營業時間 : 07:00-22:00,台中市北屯區昌平路一段95號,04-22348061,07:00-22:00
東山路站         營業時間 : 07:00-22:00,台中市北屯區東山路一段377-5號,04-22392062,07:00-22:00
松竹路站         營業時間 : 00:00-24:00,台中市北屯區松和里松竹路427號,04-22451915,00:00-24:00
大同站         營業時間 : 07:00-22:00,台中市北區錦平里三民路三段225號,04-22223385,07:00-22:00
石岡豐勢路站         營業時間 : 00:00-24:00,台中市石岡區九房里明德路2號,04-25722984,00:00-24:00
后里站         營業時間 : 00:00-24:00,台中市后里區三豐路427號,04-25562174,00:00-24:00
青海路站         營業時間 : 00:00-24:00,台中市西屯區青海路二段211號,04-27015054,00:00-24:00
文心路站         營業時間 : 00:00-24:00,台中市西屯區文心路三段2號,04-23131239,00:00-24:00
台中工業區站         營業時間 : 00:00-24:00,台中市西屯區福和里臺灣大道四段1047號,04-23592968,00:00-24:00
公益路站         營業時間 : 00:00-24:00,台中市南屯區公益路二段2號,04-23269700,00:00-24:00
五權西路站         營業時間 : 00:00-24:00,台中市南屯區五權西路二段562號,04-23893367,00:00-24:00
三民路站         營業時間 : 07:00-18:00,台中市南區福平里三民路一段１號,04-22613854,07:00-18:00
烏日高鐵站         營業時間 : 07:00-21:00,台中市烏日區建國路265號,04-23377492,07:00-21:00
清水服務區站         營業時間 : 00:00-24:00,台中市清水區吳厝里吳厝二街81號,04-26203281,00:00-24:00
清水站         營業時間 : 00:00-24:00,台中市清水區中山路507-18號,04-26222464,00:00-24:00
翁子站         營業時間 : 00:00-24:00,台中市豐原區豐勢路一段588號,04-25225510,00:00-24:00
霧峰林森路站         營業時間 : 00:00-24:00,台中市霧峰區林森路455號,04-23339411,00:00-24:00
文林路站         營業時間 : 00:00-24:00,台北市士林區文林路100號,02-28817934,00:00-24:00
福林站          營業時間 : 00:00-24:00,台北市士林區中山北路五段465號,02-28812420,00:00-24:00
龍安站         營業時間 : 00:00-24:00,台北市大安區和平東路二段2號,02-23631735,00:00-24:00
金山南路站         營業時間 : 07:00-24:00,台北市大安區金山南路二段77號,02-23518346,07:00-24:00
富陽街站         營業時間 : 00:00-24:00,台北市大安區富陽街129號,02-27324229,00:00-24:00
信義路站         營業時間 : 00:00-24:00,台北市大安區信義路四段374號,02-27081235,00:00-24:00
大直站         營業時間 : 00:00-24:00,台北市中山區明水路661號,02-25320154,00:00-24:00
新生北路站         營業時間 : 00:00-24:00,台北市中山區新生北路二段71號,02-25815206,00:00-24:00
建國北路站         營業時間 : 00:00-24:00,台北市中山區建國北路三段91號之1,02-25014338,00:00-24:00
中崙站         營業時間 : 00:00-24:00,台北市中山區八德路二段214號,02-27712548,00:00-24:00
莒光路站         營業時間 : 00:00-24:00,台北市中正區莒光路2號,02-23028385,00:00-24:00
林森北路站         營業時間 : 00:00-24:00,台北市中正區林森北路11號,02-23410686,00:00-24:00
汀州路站         營業時間 : 00:00-24:00,台北市中正區汀州路三段１號,02-23655595,00:00-24:00
內湖麗山街站         營業時間 : 00:00-24:00,台北市內湖區內湖路一段362號,02-26577339,00:00-24:00
東湖站         營業時間 : 07:00-22:00,台北市內湖區康寧路三段225號,02-26311524,07:00-22:00
西湖         營業時間 : 07:00-23:00,台北市內湖區內湖路一段59號,02-27992147,07:00-23:00
內湖站         營業時間 : 00:00-24:00,台北市內湖區民權東路六段50號,02-27920678,00:00-24:00
木柵站         營業時間 : 00:00-24:00,台北市文山區木柵路三段2號,02-29392990,00:00-24:00
萬隆站         營業時間 : 00:00-24:00,台北市文山區興隆路一段13號,02-29312829,00:00-24:00
